abate,to reduce to diminish
abduct,to seize and take away by force
abhor,Loathe or detest
abolish,to put an end to
abridge,to shorten to cut off
abstemious,Sparing in food or drink
absurd,illogical or foolish
abyss,a deep immeasurable space or cavity
accelerate,to increase the speed of to cause to move faster
access,"the ability right, or permission to approach"
acclaim,"(n) praise enthusiastic approval (v) to approve, to welcome with applause and praise"
acknowledge,to admit to be real or true to show or express appreciation for
acrid,bitterly pungent extremely or sharply stinging
activism,a person devoted to the active life
acute,sharp in some way sharp in intellect
addict,to cause to become compulsively and physiologically dependent on a habit-forming substance
adequate,"fully sufficient suitable, or fit"
adjourn,to defer or postpone to a later time
administer,to manage
admonish,"to caution advise, or counsel"
advent,"a coming into place view, or being"
adverse,opposite or confronting
aesthetic,Pertainig to beauty
affable,easy to get along with friendly
agile,characterized as well coordinated in movement
agitate,to bother
allege,to assert without proof
allergic,"of relating to, affected with, or caused by allergy"
alliance,a formal agreement or treaty between two or more nations to cooperate for specific purposes
allure,fascination appeal
aloof,at a distance especially in feeling or interest
altruistic,concerned for the welfare of others
ambidextrous,able to use both hands equally well
ambiguous,Unclear; having more than one meaning
amiable,friendly or kind
amorous,having to do with love
ample,plentiful or enough
anecdote,a short account of a particular incident or event
animosity,a feeling of ill will or intense dislike
annoy,to disturb or bother
antidote,A remedy for a poison
anxious,greatly worried
apathy,Lack of interest or caring
aplomb,Great self-confidence
apprehensively,anxiously worried
approximately,nearly exact
aquatic,living or growing in water
arbiter,one who decides; a judge
arbitrate,to judge or decide
ardent,characterized by passion or desire
arduous,requiring or using much energy and vigor
arid,extremely dry
aroma,an odor or bouquet
arrogance,overconfidence
arrogant,overly proud
ascend,"to move climb, or go upward"
assent,to agree or concur
assign,to designate
assumption,a supposition an idea thought to be true without full proof
astute,shrewd and perceptive; able to understand something quickly
atrocity,a horrible usually brutal act
attentive,giving care or attention
attire,clothes or apparel
attribute,"a quality character, characteristic, or property"
authentic,not false or copied
authority,"the right to control command, or determine"
avail,to aid; help succeed to help of or use
averse,Strong dislike for something
badger,to harass or urge persistently
ballistic,enraged with anger
bedevil,to cause a lot of problems for someone or something
benefactor,someone giving financial or general assistance
beneficial,advantageous helpful
benevolence,having a tendency to do good deeds
bestow,to present as a gift
bit,the tip of the drill
bizarre,outrageously or whimsically strange
bland,lacking interest or flavor
bliss,utter joy or contentment
blueprint,A detailed or plan for a building
blunt,"having an obtuse thick, or dull edge on point"
bluntly,lacking feeling or emotion
bogus,not genuine
boisterous,"loose unrestrained, loud"
bombast,fancy language with little meaning used to impress people
brink,any extreme edge
brisk,quick and active
buoyancy,lightness
buttress,any prop or support
cadence,rhythmic flow of a sequence of sounds or words.
cajole,To coax
calligraphy,fancy penmanship
camouflage,concealment by some means that alters or obscures the appearance
candid,
candor,honesty
canny,careful and shrewd
capricious ,
capitulate,to give up resistance
censure,to criticize severely to scold or rebuke
certify,to guarantee
cherish,to hold or treat as dear
citation,a quote from a reference to an authority or a precedent
clash,a conflict
coalesce,to unite
coarse,harsh or lacking delicacy
coincide,to happen at the same time or during the same period
collaborate,to cooperate
collide,to crash or conflict
colossal,"extraordinarily great in size extent, or degree"
commence,to begin or start
compassion,deep feeling of pity or sympathy for others
compatible,getting along together
compendium,a summary or synopsis
compensate,to pay for an action or job
compete,to engage in a contest
competent,having enough skill for some purpose; adequate but not exceptional
comprehensive,Including everything compelte
compulsory,required or mandatory
conceal,"to hide cover, or keep from sight"
condemn,To express strong disapproval of
confiscate,to take by authority
conflagaration,A widespread fire
conflagration,A widespread fire
conformity,The act of becoming similar or identical to
confront,to come up against to challenge
congenial,Agreeable /compatible
conscript,a forced enlistment of citizens of a country to fight for their country
consequence,"an act or instance of following something as an effect result, or outcome"
consistent,agreeing or accordant
conspicuous,easily seen or noticed
consternation,a sudden alarming amazement
consult,to seek advice or information from
contagious,capable of being transmitted by bodily contact with an infected person or object
contaminate,to make impure
contemptible,deserving of contempt or scorn; despicable
contrary,opposite in direction or position
contribute,to give something to a common supply fund
conventional,Traditional mundane
cooperate,to work or act together
corrode,to eat or wear away gradually as if by gnawing
corrupt,guilty of dishonest practices as bribery
counsel,to give advice to
countenance,(n) face or facial expression or the general appearance or behavior of something or someone (v) to support
counterfeit,an imitation designed to deceive; not genuine fake; to make an illegal copy
coy,Shy and modest
crafty,cunning or deceitful
crave,to desire eagerly
crimson,deep purple red color
culprit,a person guilty of an illegal act
cynicism,The belief that all human action is driven by selfishness
dappled,scattered around
david,the opposite of stupid idiot
debris,the remains of anything broken down or destroyed
debunk,To expose the falseness of something or someone
deceive,to mislead by a false appearance or statement
declivity,downward slope
defendant,Someone who has been accused of committing a crime
degrade,to lower in character or quality
deliberate,Intentional well though out (ADJ.)
dense,crowded or compact
deplete,to use up
deprive,to rob or remove
derision,contemptuous ridicule or mockery
dermatology,diagnosis and treatment of skin disorders
desolate,"barren devastated, lonely"
destitute,very poor and miserable
detain,to delay temporarily
detect,to discover the existence of
deteriorate,make or become worse or lower in value or quality.
detest,to dislike intensely
detrimental,Causing damage or harm
devastate,"to lay waste make desolate, to overwhelm"
devious,indirect and dishonest
devoid,completely free of
devour,to eat up greedily
devout,devoted to divine worship or service
delirious,
dimension,a property of space extension in a given direction
diminish,to make or cause to seem smaller less impotent
discreet,careful and judicious
dismay,a sudden or complete loss of courage
dispatch,to send off or away with speed as a messenger
distraught,mentally deranged
divergent,Moving in different directions from a common point
diversity,The state of having different elements
dormant,lying asleep
dowdy,drab or old-fashioned
drastic,extremely severe or extensive
dreary,causing sadness or gloom
drench,to wet thoroughly to soak
dubiously,Adjadverb. in a questionable and dubious manner
dupe,A person easily diceived
dwindle,to become smaller and smaller
earnest,sincerely zealous
ebullient,"overflowing with fervor enthusiasm, or excitement; high-spirited"
ecstasy,rapturous delight
ecstatic,deliriously overjoyed
edible,eatable
eerie,weird
eject,to drive or force out
elaborate,worked out with great care and nicety of detail
elegant,gracefully refined and dignified
eloquent,having the power of fluent speech
elusive,Cleverly avoiding or escaping
embezzlement,Noun. stealing money that has been entrusted to your care
emblem,"a sign design, or figure that identifies or represents something"
eminent,"high in station rank, or repute"
emaciated,
emit,"to send forth (liquid light, heat, sound, particles)"
emitted,give off; to release
empathy,understanding and entering into another's feelings
emphatic,with emphasis in speech or action
endorse,to approve support or sustain
endurance,the ability or strength to continue or last
enhance,to raise to a higher degree
enroll,to write the name of (a person) in a roll or register
ensue,to follow in order
